A1 Final Score, 0.7063, A2 Final Score, 0.924, A3 Final Score, 0.831, Attendance Quiz 1, 1.0, Attendance Quiz 10, 0.0, Attendance Quiz 2, 1.0, Attendance Quiz 3, 1.0, Attendance Quiz 4, 1.0, Attendance Quiz 5, 1.0, Attendance Quiz 6, 1.0, Attendance Quiz 7, 0.0, Attendance Quiz 8, 1.0, Attendance Quiz 9, 1.0, Exam 1, 0.6444, Exam 2, 0.6667, Extra Credit, 0.0, Quiz 1, 0.615384615385, Quiz 10, 1.0, Quiz 2, 0.8, Quiz 3, 0.6, Quiz 4, 1.0, Quiz 5, 0.4, Quiz 6, 0.75, Quiz 7, 0.8, Quiz 8, 0.8, Quiz 9, 0.0, 
A1 Final Score, 0.92, A2 Final Score, 0.7032, A3 Final Score, 0.7789, Attendance Quiz 1, 1.0, Attendance Quiz 10, 1.0, Attendance Quiz 2, 0.0, Attendance Quiz 3, 1.0, Attendance Quiz 4, 1.0, Attendance Quiz 5, 1.0, Attendance Quiz 6, 1.0, Attendance Quiz 7, 0.0, Attendance Quiz 8, 1.0, Attendance Quiz 9, 1.0, Exam 1, 0.7778, Exam 2, 1.0222, Extra Credit, 0.125, Quiz 1, 0.0, Quiz 10, 1.0, Quiz 2, 0.6, Quiz 3, 0.733333333333, Quiz 4, 1.0, Quiz 5, 0.6, Quiz 6, 0.85, Quiz 7, 0.85, Quiz 8, 0.85, Quiz 9, 1.0, 
A1 Final Score, 0.5938, A2 Final Score, 0.5227, A3 Final Score, 0.6955, Attendance Quiz 1, 1.0, Attendance Quiz 10, 1.0, Attendance Quiz 2, 0.0, Attendance Quiz 3, 0.0, Attendance Quiz 4, 1.0, Attendance Quiz 5, 1.0, Attendance Quiz 6, 1.0, Attendance Quiz 7, 1.0, Attendance Quiz 8, 1.0, Attendance Quiz 9, 1.0, Exam 1, 0.6667, Exam 2, 0.7778, Extra Credit, 0.25, Quiz 1, 0.615384615385, Quiz 10, 1.0, Quiz 2, 0.533333333333, Quiz 3, 0.533333333333, Quiz 4, 0.0, Quiz 5, 0.65, Quiz 6, 0.9, Quiz 7, 0.9, Quiz 8, 0.75, Quiz 9, 1.0, 
A1 Final Score, 0.4715, A2 Final Score, 0.6258, A3 Final Score, 0.0545, Attendance Quiz 1, 0.0, Attendance Quiz 10, 0.0, Attendance Quiz 2, 0.0, Attendance Quiz 3, 0.0, Attendance Quiz 4, 0.0, Attendance Quiz 5, 0.0, Attendance Quiz 6, 1.0, Attendance Quiz 7, 0.0, Attendance Quiz 8, 0.0, Attendance Quiz 9, 0.0, Exam 1, 0.0, Exam 2, 0.0, Extra Credit, 0.0, Quiz 1, 0.0, Quiz 10, 0.0, Quiz 2, 0.6, Quiz 3, 0.666666666667, Quiz 4, 1.0, Quiz 5, 0.0, Quiz 6, 0.0, Quiz 7, 0.0, Quiz 8, 0.0, Quiz 9, 0.0, 
A1 Final Score, 0.96, A2 Final Score, 0.889, A3 Final Score, 0.8625, Attendance Quiz 1, 1.0, Attendance Quiz 10, 0.0, Attendance Quiz 2, 1.0, Attendance Quiz 3, 1.0, Attendance Quiz 4, 1.0, Attendance Quiz 5, 1.0, Attendance Quiz 6, 1.0, Attendance Quiz 7, 1.0, Attendance Quiz 8, 1.0, Attendance Quiz 9, 1.0, Exam 1, 0.675, Exam 2, 0.8222, Extra Credit, 0.25, Quiz 1, 0.769230769231, Quiz 10, 1.0, Quiz 2, 0.466666666667, Quiz 3, 0.666666666667, Quiz 4, 1.0, Quiz 5, 0.85, Quiz 6, 0.85, Quiz 7, 0.85, Quiz 8, 0.55, Quiz 9, 1.0, 
A1 Final Score, 0.8853, A2 Final Score, 0.831, A3 Final Score, 0.8155, Attendance Quiz 1, 1.0, Attendance Quiz 10, 1.0, Attendance Quiz 2, 0.0, Attendance Quiz 3, 1.0, Attendance Quiz 4, 1.0, Attendance Quiz 5, 1.0, Attendance Quiz 6, 1.0, Attendance Quiz 7, 1.0, Attendance Quiz 8, 1.0, Attendance Quiz 9, 1.0, Exam 1, 0.7111, Exam 2, 0.8667, Extra Credit, 0.125, Quiz 1, 1.0, Quiz 10, 1.0, Quiz 2, 0.8, Quiz 3, 0.8, Quiz 4, 1.0, Quiz 5, 0.85, Quiz 6, 0.7, Quiz 7, 0.7, Quiz 8, 0.7, Quiz 9, 1.0, 
A1 Final Score, 0.9334, A2 Final Score, 0.9583, A3 Final Score, 0.8591, Attendance Quiz 1, 1.0, Attendance Quiz 10, 1.0, Attendance Quiz 2, 0.0, Attendance Quiz 3, 1.0, Attendance Quiz 4, 1.0, Attendance Quiz 5, 1.0, Attendance Quiz 6, 1.0, Attendance Quiz 7, 1.0, Attendance Quiz 8, 1.0, Attendance Quiz 9, 1.0, Exam 1, 0.8444, Exam 2, 1.0, Extra Credit, 0.625, Quiz 1, 0.769230769231, Quiz 10, 1.0, Quiz 2, 0.8, Quiz 3, 0.666666666667, Quiz 4, 1.0, Quiz 5, 0.65, Quiz 6, 0.75, Quiz 7, 0.75, Quiz 8, 0.75, Quiz 9, 1.0, 
A1 Final Score, 0.9375, A2 Final Score, 0.834, A3 Final Score, 0.8155, Attendance Quiz 1, 1.0, Attendance Quiz 10, 1.0, Attendance Quiz 2, 1.0, Attendance Quiz 3, 1.0, Attendance Quiz 4, 1.0, Attendance Quiz 5, 1.0, Attendance Quiz 6, 1.0, Attendance Quiz 7, 1.0, Attendance Quiz 8, 1.0, Attendance Quiz 9, 1.0, Exam 1, 0.8222, Exam 2, 0.9778, Extra Credit, 0.25, Quiz 1, 0.923076923077, Quiz 10, 1.0, Quiz 2, 0.733333333333, Quiz 3, 0.866666666667, Quiz 4, 1.0, Quiz 5, 0.8, Quiz 6, 0.8, Quiz 7, 0.8, Quiz 8, 0.75, Quiz 9, 1.0, 
A1 Final Score, 0.9152, A2 Final Score, 0.899, A3 Final Score, 0.9083, Attendance Quiz 1, 0.0, Attendance Quiz 10, 1.0, Attendance Quiz 2, 1.0, Attendance Quiz 3, 1.0, Attendance Quiz 4, 1.0, Attendance Quiz 5, 1.0, Attendance Quiz 6, 1.0, Attendance Quiz 7, 1.0, Attendance Quiz 8, 1.0, Attendance Quiz 9, 1.0, Exam 1, 0.7556, Exam 2, 0.9333, Extra Credit, 0.25, Quiz 1, 0.846153846154, Quiz 10, 1.0, Quiz 2, 0.0, Quiz 3, 0.666666666667, Quiz 4, 1.0, Quiz 5, 0.8, Quiz 6, 0.9, Quiz 7, 0.9, Quiz 8, 0.85, Quiz 9, 1.0, 
A1 Final Score, 0.4925, A2 Final Score, 0.893, A3 Final Score, 0.9315, Attendance Quiz 1, 1.0, Attendance Quiz 10, 1.0, Attendance Quiz 2, 1.0, Attendance Quiz 3, 1.0, Attendance Quiz 4, 1.0, Attendance Quiz 5, 1.0, Attendance Quiz 6, 1.0, Attendance Quiz 7, 1.0, Attendance Quiz 8, 1.0, Attendance Quiz 9, 1.0, Exam 1, 0.6889, Exam 2, 0.8, Extra Credit, 0.125, Quiz 1, 0.615384615385, Quiz 10, 1.0, Quiz 2, 0.533333333333, Quiz 3, 0.733333333333, Quiz 4, 1.0, Quiz 5, 0.65, Quiz 6, 0.65, Quiz 7, 0.65, Quiz 8, 0.65, Quiz 9, 1.0, 
